woord,woorden,vertaling,bijvoorbeld,toelichting,test
de ambtenaar,ambtenaren,le fonctionnaire,,,0
het landbouw,landbouwen,l'agriculture,,,0
de kennis,kenissen,la connaissance,,,0
de architect,architecten,l'architecte,ik ben geen architect,,0
de informaticus/de computerwetenschapper,computerwetenschappers,l'informaticien,ik ben informaticus,,0
de doctor,,le médecin,ik ben geen doctor,,0
de wetenschap,wetenschappen,la science,een computer wetenschap,,0
de wetenschapper,wetenschappers,le scientifique,,,0
de man,mannen,le mari,ze eet haar mannetje altijd op.,man/nen (1V dans une syllabe fermée : le son reste court au pluriel),0
de student/de cursist,studenten/cursisten,l'étudiant,ik ben student nu in Nederlands/ik ben cursist/de cursist van Anne,,0
de klas,klassen,la salle de cours,in de klas/cursusklas van Anne,,0
de broer,broers,le frère,,pluriel en -s.,0
de oom,ooms,l'oncle,,pluriel en -s.,0
de zoon,zonen,le fils,,,0
de dochter,dochters,la fille,,pluriel en -s.,0
de vader,vaders,le père,,pluriel en -s.,0
het kind,kinderen,l'enfant,een kind van drie jaar,,0
de tweeling,tweelingen,le jumeau,,,0
het jaar,jaren,l'année,het kind is 3 jaar|ik ben 51 jaar oud,,0
uit/van,,de,ik ben uit/van Italië,(uit=appartenance),0
het geleden,,il y a,3 jaar geleden,,0
de naam,namen,le nom,ik heb de naam vergetten,na/men (1V dans une syllabe ouverte)|naam (2V dans une syllabe fermée),0
de dienst,diensten,service,dezelfde dienst (le même service)|op dienst (en service),,0
dezelfde/hetzelfde,,le/la même(s),,,0
Italië,,Italie,ze komt uit Italië,,0
Rusland,,Russie,,,0
De verenigde Staten,,Les États-Unis,,,0
Portugal,,Portugal,,,0
België,,Belgique,België is een klein land.,,0
Frankrijk,,France,,,0
Luxemburg,,Luxembourg,,,0
Duitsland,,Allemagne,,,0
Nederland,,Pays-Bas,,,0
Japan,,Japon,,,0
de taal,talen,langue,,ta/len (1 voyelle dans une syllabe ouverte : le son reste long)|taal (2V dans une syllabe fermée),0
meertalig,,multilingue,,,0
franstalig,,Francophone,Ik ben Franstallig,,0
nederlandstalig,,langue néerlandaise,,,0
duitstalig,,langue allemande,,,0
Fins,,finnois,ik spreek geen Fins (je ne parle pas finnois),,0
Pools,,polonais,,,0
zweeds,,suédois,,,0
duits,,Allemand,,,0
Italiaans,,Italien,je bent Italiaans|ik spreek Italiaans,,0
nederlands,,néerlandais,ik spreek nederlands|ze leert Nederlands|de nederlands princess (la princesse hollandaise), "s" à l'adjectif ou à la langue,0
Nederland,,Pays-Bas,,,0
Belgisch,,Belge,,,0
russisch,,Russe,hij spreekt russisch en nu ook Nederlands,,0
Spaans,,Espagnol,ik spreek Spaans,,0
Chinees,,chinois,ik spreek Chinees,,0
Engels,,anglais,ik spreek Engels,,0
Frans,,français,en wat Frans (et un peu français)|ik ben alleen Frans,,0
Japans,,japonais,,,0
moedertaal,moedertalen,langue maternelle,mijn moedertaal is Frans,,0
Vlaanderen,,Flandre,,,0
Wallonië,,Wallonie,,,0
het gewest,gewesten,région,Het Waals Gewest/Het Vlaamse Gewest,sens administratif plutôt que région,0
Vlaams Brabant,,Brabant flamand,,,0
waals,walen,Wallon,,,0
vlaams,,Flamand,,,0
de/het,,le/la/l'/les,het meisje/het kind,,0
dat,,cela,Hij staat dat geparkeerd,,0
het huis,huizen,maison,gemeente huis (maison communale),,0
het land,landen,pays,uit welk land,pas de "e" à welk,0
de stad,steden,ville,,,0
de hoofdstad,hoofsteden,capital,,,0
het hoofdstedelijk,,Capital,Het Brussels Hoofdstedelijk gewest (region bruxelles capitale),adjectif pour la capital,0
het dorp,dorpen,village,,,0
de streek,streken,région,uit welke streek kom je ?,pas dans le sens administratif,0
de regio,regio's,la région,,région dans sens administratif.,0
de plaats,plaatsen,lieu,,,0
de woonplaats,woonplaatsen,résidence,,,0
het transport,transporten,transport,,,0
de provincie,provincies,province,in de provincie Luik,,0
het namelijk,,nommément,m,m (namelijk dans le dico),0
vrouwlijk,,femelle,v,v (vrouwlijk dans le dico),0
neutraal,,neutre,o,o (neutre dans le dico),0
Hoei,,Huy,ik ga van Hoei naar Namen,,0
Luik,,Liège,de stad Luik ligt in de provincie Luik,,0
Namen,,Namur,Ik woon in Namen.,,0
Henegouwen,,Hainaut,,,0
Antwerpen,,Anvers,,,0
de gemeente,gemeenten,commune,,,0
de hoofdstad,hoofdsteden,capital,,,0
de wereld,werelden,monde,,,0
iets,,quelque chose,vertel iets over jezelf,,0
nog iets,,autre chose,,,0
nog niet/geen,,pas encore/aucun,nog geen kinderen,,0
